ticks,op,cf,in_bx,in_es,in_owner,out_ax,out_bx,pre_free,pre_largest,post_free,post_largest,pre_mcb_count,post_mcb_count,out_owner,caller_cs,sequence,name
773449,start,0,0,0,0,0,0,40455,40451,40455,40451,6,6,0,0,0,
773449,resize,0,11187,518,518,518,11187,4,4,29257,29253,7,8,65535,3806,1,
773449,open,0,30320,7609,65535,6,30320,29257,29253,29257,29253,8,8,65535,3806,2,C:\prince.dat
773449,alloc,0,39,7609,65535,11706,39,29257,29253,29217,29213,8,9,518,3806,3,
773449,open,0,0,11706,65535,7,0,29217,29213,29217,29213,9,9,65535,3806,4,CONFIG.DAT
773449,close,0,7,7609,65535,15872,7,29217,29213,29217,29213,9,9,65535,3806,5,
773449,resize,0,39,11706,518,11706,39,29217,29213,29217,29213,9,9,65535,3806,6,
773449,resize,0,512,11706,518,11706,512,29217,29213,28744,28740,9,9,65535,3806,7,
773450,alloc,1,65535,11706,65535,8,28740,28744,28740,28744,28740,9,9,65535,3806,8,
773450,resize,0,512,11706,518,11706,512,28744,28740,28744,28740,9,9,65535,3806,9,
773450,alloc,0,4093,7609,65535,12219,4093,28744,28740,24650,24646,9,10,518,3806,10,
773450,resize,0,4093,12219,518,12219,4093,24650,24646,24650,24646,10,10,65535,3806,11,
773450,alloc,0,4093,7609,65535,16313,4093,24650,24646,20556,20552,10,11,518,3806,12,
773450,resize,0,4093,16313,518,16313,4093,20556,20552,20556,20552,11,11,65535,3806,13,
773450,alloc,0,4093,7609,65535,20407,4093,20556,20552,16462,16458,11,12,518,3806,14,
773450,resize,0,4093,20407,518,20407,4093,16462,16458,16462,16458,12,12,65535,3806,15,
773450,alloc,0,4093,7609,65535,24501,4093,16462,16458,12368,12364,12,13,518,3806,16,
773450,resize,0,4093,24501,518,24501,4093,12368,12364,12368,12364,13,13,65535,3806,17,
773450,alloc,0,4093,7609,65535,28595,4093,12368,12364,8274,8270,13,14,518,3806,18,
773450,resize,0,4093,28595,518,28595,4093,8274,8270,8274,8270,14,14,65535,3806,19,
773450,alloc,0,4093,7609,65535,32689,4093,8274,8270,4180,4176,14,15,518,3806,20,
773450,resize,0,4093,32689,518,32689,4093,4180,4176,4180,4176,15,15,65535,3806,21,
773450,alloc,0,4093,7609,65535,36783,4093,4180,4176,86,82,15,16,518,3806,22,
773450,resize,0,4093,36783,518,36783,4093,86,82,86,82,16,16,65535,3806,23,
773450,alloc,1,4093,7609,65535,8,82,86,82,86,82,16,16,65535,3806,24,
773452,close,0,6,0,65535,16127,6,86,82,86,82,16,16,65535,3806,25,
773452,open,0,30296,7609,65535,6,30296,86,82,86,82,16,16,65535,3806,26,C:\ibm_snd1.dat
773452,open,0,30296,7609,65535,7,30296,86,82,86,82,16,16,65535,3806,27,C:\midisnd1.dat
773452,open,0,30296,7609,65535,8,30296,86,82,86,82,16,16,65535,3806,28,C:\mt32snd1.dat
773452,close,0,8,7609,65535,16125,8,86,82,86,82,16,16,65535,3806,29,
773452,close,0,7,7609,65535,16127,7,86,82,86,82,16,16,65535,3806,30,
773452,close,0,6,0,65535,16127,6,86,82,86,82,16,16,65535,3806,31,
773452,open,0,238,7609,65535,6,238,86,82,86,82,16,16,65535,3806,32,kid.dat
773452,close,0,6,7609,65535,15879,6,86,82,86,82,16,16,65535,3806,33,
773452,open,0,30193,7609,65535,6,30193,86,82,86,82,16,16,65535,3806,34,C:\kid.dat
773452,close,0,6,0,65535,16127,6,86,82,86,82,16,16,65535,3806,35,
773452,open,0,30195,7609,65535,6,30195,86,82,86,82,16,16,65535,3806,36,C:\title.dat
773452,close,0,6,0,65535,16127,6,86,82,86,82,16,16,65535,3806,37,
773452,open,0,30195,7609,65535,6,30195,86,82,86,82,16,16,65535,3806,38,C:\title.dat
773452,close,0,6,0,65535,16127,6,86,82,86,82,16,16,65535,3806,39,
773452,open,1,238,7609,65535,2,238,86,82,86,82,16,16,65535,3806,40,PRINCE.HOF
773453,open,0,30139,7609,65535,6,30139,86,82,86,82,16,16,65535,3806,41,C:\kid.dat
773476,close,0,6,0,65535,16123,6,86,82,86,82,16,16,65535,3806,42,
773476,open,0,30101,7609,65535,6,30101,86,82,86,82,16,16,65535,3806,43,C:\CPALACE.DAT
773483,close,0,6,0,65535,16061,6,86,82,86,82,16,16,65535,3806,44,
773483,open,0,30003,7609,65535,6,30003,86,82,86,82,16,16,65535,3806,45,C:\CPALACE.DAT
773486,close,0,6,0,65535,16061,6,86,82,86,82,16,16,65535,3806,46,
773486,open,0,30101,7609,65535,6,30101,86,82,86,82,16,16,65535,3806,47,C:\CPALACE.DAT
773487,close,0,6,0,65535,16061,6,86,82,86,82,16,16,65535,3806,48,
773487,open,0,30144,7609,65535,6,30144,86,82,86,82,16,16,65535,3806,49,C:\levels.dat
773487,close,0,6,0,65535,16061,6,86,82,86,82,16,16,65535,3806,50,
