ticks,op,cf,in_bx,in_es,in_owner,out_ax,out_bx,pre_free,pre_largest,post_free,post_largest,pre_mcb_count,post_mcb_count,out_owner,caller_cs,sequence,name
773449,start,0,0,0,0,0,0,40455,40451,40455,40451,6,6,0,0,0,
773449,resize,0,11187,518,518,518,11187,4,4,29257,29253,7,8,65535,3806,1,
773449,open,0,30322,7609,65535,6,30322,29257,29253,29257,29253,8,8,65535,3806,2,C:\prince.dat
773449,alloc,0,39,7609,65535,11706,39,29257,29253,29217,29213,8,9,518,3806,3,
773449,open,0,0,11706,65535,7,0,29217,29213,29217,29213,9,9,65535,3806,4,CONFIG.DAT
773449,close,0,7,7609,65535,15872,7,29217,29213,29217,29213,9,9,65535,3806,5,
773449,resize,0,39,11706,518,11706,39,29217,29213,29217,29213,9,9,65535,3806,6,
773449,resize,0,512,11706,518,11706,512,29217,29213,28744,28740,9,9,65535,3806,7,
773450,resize,0,512,11706,518,11706,512,28744,28740,28744,28740,9,9,65535,3806,8,
773450,resize,0,2048,11706,518,11706,2048,28744,28740,27208,27204,9,9,65535,3806,9,
773450,alloc,1,65535,3806,65535,8,27204,27208,27204,27208,27204,9,9,65535,3806,10,
773450,resize,0,2048,11706,518,11706,2048,27208,27204,27208,27204,9,9,65535,3806,11,
773450,alloc,0,4093,7609,65535,13755,4093,27208,27204,23114,23110,9,10,518,3806,12,
773450,resize,0,4093,13755,518,13755,4093,23114,23110,23114,23110,10,10,65535,3806,13,
773450,alloc,0,4093,7609,65535,17849,4093,23114,23110,19020,19016,10,11,518,3806,14,
773450,resize,0,4093,17849,518,17849,4093,19020,19016,19020,19016,11,11,65535,3806,15,
773450,alloc,0,4093,7609,65535,21943,4093,19020,19016,14926,14922,11,12,518,3806,16,
773450,resize,0,4093,21943,518,21943,4093,14926,14922,14926,14922,12,12,65535,3806,17,
773450,alloc,0,4093,7609,65535,26037,4093,14926,14922,10832,10828,12,13,518,3806,18,
773450,resize,0,4093,26037,518,26037,4093,10832,10828,10832,10828,13,13,65535,3806,19,
773450,alloc,0,4093,7609,65535,30131,4093,10832,10828,6738,6734,13,14,518,3806,20,
773450,resize,0,4093,30131,518,30131,4093,6738,6734,6738,6734,14,14,65535,3806,21,
773450,alloc,0,4093,7609,65535,34225,4093,6738,6734,2644,2640,14,15,518,3806,22,
773450,resize,0,4093,34225,518,34225,4093,2644,2640,2644,2640,15,15,65535,3806,23,
773450,alloc,1,4093,7609,65535,8,2640,2644,2640,2644,2640,15,15,65535,3806,24,
